title,purpose,category,benefit_source,benefit_description,benefit_value_lower,benefit_value_higher,benefit_received,benefit_registered
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Royal African Society,Secretariat From 05/07/2019 To 04/07/2020,24001,25500,2019-07-05,2019-10-28
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country,Chatham House,Secretariat From 18/07/2018 To 17/07/2019,9001,10500,2018-07-18,2018-11-07
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Country,The West India Committee,Secretariat From 18/07/2018 To 17/07/2019,3001,4500,2018-07-18,2018-07-19
All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Country,Hong Kong Association,Dinner held on 22/10//2018,1501,3000,2018-10-22,2018-11-26
All-Party Parliamentary Group on Egypt,To strengthen relations between British and Egyptian parliamentarians and promote British-Egyptian relations amongst both chambers of the UK Parliament.,Country,Samir Takla,Samir Takla acts as the group's secretariat and pays Eleni Athanasiadi to act help him fulfil that role From 18/07/2019 To 17/07/2020,4501,6000,2019-07-18,2018-06-11
All-Party Parliamentary Group on Gibraltar,"To represent the views of the people of Gibraltar in Parliament and work with the Government of Gibraltar, political parties and interest groups.",Country,HM Government of Gibraltar,Secretariat From 11/07/2019 To 10/07/2020,1501,3000,2019-07-11,2019-08-28
All-Party Parliamentary Group on Hong Kong,"To promote democracy and the rule of law, and to defend human rights in Hong Kong, to share information about Hong Kong, and to nurture relations between the United Kingdom and the people of Hong Kong.",Country,The Whitehouse Consultancy Ltd,The Whitehouse Consultancy Ltd is funded by Stand With Hong Kong to act as the group's secretariat. From 05/11/2019 To 04/11/2020,34501,36000,2019-11-05,2019-11-05
Indo-British All-Party Parliamentary Group,To promote understanding and co-operation between Indian and British parliamentarians and peoples.,Country,PB Consulting (with some funding from the Corporation of the City of London),Secretariat From 17/07/2018 To 16/07/2019,7501,9000,2018-07-17,2018-11-01
All-Party Britain-Israel Parliamentary Group,To create a better understanding of Israel and to foster and promote links between Britain and Israel.,Country,Cedars Oak Ltd,Secretariat From 12/09/2018 To 11/09/2019,24001,25500,2018-09-12,2018-12-20
All-Party Parliamentary Group on Italy,Furthering relations between the British Parliament and the Italian Parliament and all related activities to enhance the relationship between the UK and Italy.,Country,Newington Communications,Secretariat From 11/07/2018 To 10/07/2019,24001,25500,2019-07-11,2019-04-09
All-Party Parliamentary Group for Jamaica,To promote the country of Jamaica.,Country,Jamaica Promotions Corporation,Secretariat From 12/09/2018 To 11/09/2019,7501,9000,2018-09-12,2019-02-20
All-Party Parliamentary Jordan Group,To promote interest in and knowledge of Jordan and to establish contacts between parliamentarians of the two countries.,Country,Council for Arab-British Understanding,Secretariat From 01/01/2018 To 31/12/2018,1501,3000,2018-01-01,2018-11-06
All-Party Parliamentary Group for the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples and representatives of the Kurdistan Region in Iraq and the UK.,Country,Sardar Group of Companies,Visit to Erbil and Slemani From 20/06/2019 To 23/06/2019 Cost Met Travel,10501,12000,2019-06-20,2019-07-17
All-Party Parliamentary Group for the Kurdistan Region in Iraq,To promote friendship and understanding between the peoples and representatives of the Kurdistan Region in Iraq and the UK.,Country,Erbil Chamber of Commerce and Industry,Visit to Erbil and Slemani From 20/06/2019 To 23/06/2019 Cost Met Hotels,1501,3000,2019-06-20,2019-07-17
