title,purpose,category
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Country
All-Party Parliamentary Group for Algeria,To build relations between the UK and Algeria and to strengthen parliamentary links.,Country
All-Party Parliamentary Group on Angola,To build a greater understanding in Parliament of Angola and its regional and international roles; to build links and foster good relations with Angola; and to support development and democracy in Angola.,Country
Anguilla All-Party Parliamentary Group,To facilitate greater parliamentary awareness of the British overseas territory of Anguilla and to promote good relations in support of Anguilla's right to self-determination and prosperity.,Country
All-Party Parliamentary Group on Argentina,To maintain relations between the two countries and to build links with the Argentine Congress.,Country
All-Party Parliamentary Group on Armenia,"To encourage links between the UK parliament and the Republic of Armenia, and to increase awareness of that country in the UK parliament.",Country
All-Party Parliamentary Group for Australia and New Zealand,"To encourage political interest in Australia and New Zealand; to meet with ANZAC politicians who are visiting the UK; to meet with the High Commissioners of Australia and New Zealand; and to discuss Australian, New Zealand and UK politics.",Country
British-Austrian All-Party Parliamentary Group,To foster and advance relations between the nations and regions of the UK and Austria.,Country
All-Party Parliamentary Group on Azerbaijan,To develop good relations between the legislatures and governments of our two countries.,Country
UK-Bahrain All-Party Parliamentary Group,To develop friendship and understanding between our countries and to promote mutual economic and political aims.,Country
All-Party Parliamentary Group on Bangladesh,To foster a greater understanding of the country of Bangladesh and provide a conduit for the Bangladeshi community here in the UK.,Country
All-Party Parliamentary Group on Belarus,To strengthen relations between the UK and Belarus and to strengthen parliamentary links.,Country
All-Party Parliamentary Group on Belgium,"To consolidate and strengthen cultural, economic, political and social ties between the United Kingdom and Belgium and foster positive relations post Brexit.",Country
All-Party Parliamentary Group for Belize,To increase parliamentarians' knowledge of Belize and to improve their understanding of its problems.,Country
All-Party Parliamentary Group for Bermuda,To improve links and mutual understanding between Britain and Bermuda.,Country
All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Country
All-Party Parliamentary Brazil Group,To foster good relations between the UK and Brazil and to act as a platform for discussion on issues of importance to the Brazil-UK relationship.,Country
All-Party Parliamentary Group on Democracy in Burma,To provide democratic change in Burma.,Country
Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Country
All-Party Parliamentary Group on Cameroon,To explore issues regarding the Republic of Cameroon.,Country
British-Canada All-Party Parliamentary Group,To encourage political interest in Canada; to meet with politicians from Canada who are visiting the UK; to meet with the Canadian High Commissioner; and to discuss Canadian and UK politics.,Country
Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Country
All-Party Parliamentary Group on Catalonia,To develop links between parliamentarians in this country and in Catalonia. To keep members of parliament abreast of the on-going debate and events about Catalan self-determination and to help ensure that debate is carried out in the most democratic way.,Country
All-Party Parliamentary Group for the Cayman Islands,"To maintain links with, and develop an understanding of, the Cayman Islands.",Country
British-Central America All-Party Parliamentary Group,To encourage political interest in Central America and to meet with politicians from that area who are visiting the UK.,Country
Chagos Islands (British Indian Ocean Territory) All-Party Parliamentary Group,To help bring about a resolution of the issues concerning the future of the Chagos Islands (British Indian Ocean Territory) and the Chagossians.,Country
Channel Islands All-Party Parliamentary Group,To promote a better understanding of the issues facing the Channel Islands and develop better relations between the UK and the Channel Islands.,Country
All-Party Parliamentary Group for Chile,To foster good relations between parliamentarians from the UK and Chile and to increase knowledge and understanding of Chile.,Country
All-Party Parliamentary China Group,"To ensure parliamentarians are kept well informed on China, and to act as a platform for discussions on all issues of importance to the UK-China relationship.",Country
All-Party Parliamentary Group on Colombia,"To promote interest in, relations with and links to Colombia. To strengthen and advance relations between our two nations.",Country
All-Party Parliamentary Group for Croatia,"To raise awareness of Croatia among British Parliamentarians for the purpose of enhancing mutual understanding of each country's economic, social, cultural and political life; and to arrange visits of parliamentarians.",Country
All-Party Parliamentary Group on Cuba,To encourage links with parliamentarians in Cuba and foster understanding of developments in Cuba amongst parliamentarians in the UK.,Country
All-Party Parliamentary Group for Cyprus,To promote relationships between the UK and the Republic of Cyprus and their elected parliamentarians and people.,Country
All-Party Parliamentary Group on Democratic Republic of the Congo,To bring together members of both Houses of Parliament to discuss issues relating to the Democratic Republic of the Congo (DRC).,Country
British-Danish All-Party Parliamentary Group,"To promote relations between Britain and Denmark, their parliaments and people.",Country
All-Party Parliamentary Group on Egypt,To strengthen relations between British and Egyptian parliamentarians and promote British-Egyptian relations amongst both chambers of the UK Parliament.,Country
All-Party Parliamentary Group on Eritrea,"To raise awareness of the human rights abuses that are taking place in Eritrea; to examine and debate how the human rights situation in the country might be improved; and to raise matters of concern with, and make representations to, government and other policy makers.",Country
Estonia All-Party Parliamentary Group,To promote good relations between Britain and Estonia and specifically to facilitate contact between parliamentarians and other representative bodies in both countries.,Country
All-Party Parliamentary Group on Ethiopia and Djibouti,"To promote knowledge of, and interest in, Ethiopia and Djibouti within Parliament and maintain good relations with those countries.",Country
Falkland Islands All-Party Parliamentary Group,"To support the Falkland Islanders' right to self-determination, maintain a strong link between Parliament and the Falkland Islands, and support the Falkland Islands and their economic development.",Country
All-Party Parliamentary Group on Faroe Islands,To foster good relations and cultural exchange with the people of the Faroes.,Country
British-Finnish All-Party Parliamentary Group,"To promote relations between Britain and Finland, their parliaments and people.",Country
All-Party Parliamentary Group on France,To foster good relations between both Houses of Parliament and the Assemblée National and Sénat in Paris.,Country
All-Party Parliamentary Group on Georgia,To facilitate greater parliamentary awareness on developments in Georgia.,Country
All-Party Parliamentary British-German Group,To promote mutual understanding and good relations between the UK and Germany and to facilitate meetings and contacts between parliamentarians of both countries.,Country
All-Party Parliamentary Group on Gibraltar,"To represent the views of the people of Gibraltar in Parliament and work with the Government of Gibraltar, political parties and interest groups.",Country
All-Party Parliamentary Group for Greece,Furthering relations between the British Parliament and the Greek Parliament and all related activities to enhance the relationship between the UK and Greece.,Country
All-Party Parliamentary Group on Hong Kong,"To promote democracy and the rule of law, and to defend human rights in Hong Kong, to share information about Hong Kong, and to nurture relations between the United Kingdom and the people of Hong Kong.",Country
All-Party Parliamentary Hungary Group,To foster good relations between Hungary and the UK.,Country
All-Party Parliamentary Group on Iceland,To maintain good relations between the Icelandic and British Parliaments.,Country
Indo-British All-Party Parliamentary Group,To promote understanding and co-operation between Indian and British parliamentarians and peoples.,Country
Indonesia All-Party Parliamentary Group,To promote interest in and understanding of Indonesia among parliamentarians and to be a platform of debate on all issues of mutual interest.,Country
All-Party Parliamentary Group on Iran,To foster good relations with the Parliament and people of the Islamic Republic of Iran.,Country
British-Iraq All-Party Parliamentary Group,To promote friendship and understanding between the people of Iraq and the UK.,Country
All-Party Parliamentary Group on Ireland and the Irish in Britain,"To promote good relations between Ireland and the UK, foster understanding of issues affecting the British-Irish relationship; celebrate links between both countries and their peoples; and represent and raise issues affecting the Irish community in Britain.",Country
United Kingdom-Isle of Man (Manx) All-Party Parliamentary Group,To promote and foster good relations and co-operation between the Isle of Man and the United Kingdom.,Country
All-Party Britain-Israel Parliamentary Group,To create a better understanding of Israel and to foster and promote links between Britain and Israel.,Country
All-Party Parliamentary Group on Italy,Furthering relations between the British Parliament and the Italian Parliament and all related activities to enhance the relationship between the UK and Italy.,Country
All-Party Parliamentary Group for Jamaica,To promote the country of Jamaica.,Country
All-Party Parliamentary Group on Japan,"To promote positive UK-Japan links at political, diplomatic and business levels.",Country
All-Party Parliamentary Jordan Group,To promote interest in and knowledge of Jordan and to establish contacts between parliamentarians of the two countries.,Country
All-Party Parliamentary Kashmir Group,To support the right to self-determination of the Kashmiri people through dialogue; to seek support from British parliamentarians; to highlight the abuses of human rights in Kashmir; and to seek justice for the people there.,Country
