title,purpose,category,officer_role,officer_name,officer_party
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Chair & Registered Contact,Chi Onwurah,Labour
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Co-Chair,Lord Chidgey,Liberal Democrat
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Vice Chair (Southern Africa),Baroness Northover,Liberal Democrat
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Vice Chair (Eastern Africa),Mrs Pauline Latham,Conservative
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Vice Chair (Eastern Africa),Jeremy Lefroy,Conservative
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Vie Chair (Northern Africa),Lord Purvis of Tweed,Liberal Democrat
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Vice Chair (Central and West Africa),Lord McConnell of Glenscorrodale,Labour
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Vice Chair (Southern Africa),Lord Oates,Liberal Democrat
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Secretary,Patrick Grady,Scottish National Party
All-Party Parliamentary Group for Africa,To facilitate mutually beneficial relationships between Africa and the UK and to further understanding within the UK parliament of contemporary pan-African matters and African development agendas.,Country,Treasurer,Baroness Uddin,Non-affiliated
All-Party Parliamentary Group for Albania,To help bilateral relations between the UK and Albania and improve parliamentary relations.,Country,Chair & Registered Contact,John Grogan,Labour
